frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,teacher_selected_score_memory,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,0.877290,1,1,1,1,1,2,1,1.683443,0.877290,0.806153,,2,0.911914,0.911914,0.011244,1.094974,0,2,0,0,0,0,,,13.102,0.877290,12.686,0.000,36.858
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,0.868298,1,1,1,1,1,2,1,1.712469,0.868298,0.844171,,3,0.926202,0.926202,0.009506,1.064629,0,3,0,0,0,0,,,12.543,0.868298,12.088,0.000,34.946
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,0.890742,1,1,1,1,1,2,1,1.738323,0.890742,0.847581,,4,0.930610,0.930610,0.008315,1.074564,4,4,1,1,1,4,10.519547,10.519547,13.658,0.890328,16.203,660.261,703.860
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,0.887858,1,1,1,1,1,2,1,1.793803,0.887858,0.905945,,5,0.952992,0.952992,0.003409,1.049326,4,5,1,1,1,4,10.319526,10.319526,12.945,0.886370,13.768,403.838,447.555
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,0.887875,1,1,1,1,1,2,1,1.887655,0.887875,0.999780,,6,0.999895,0.999895,0.000011,1.000087,4,6,1,1,1,4,10.039066,10.039066,13.191,0.884818,13.293,765.456,804.993
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,0.898203,1,1,1,1,1,2,1,1.840404,0.898203,0.942201,,7,0.963290,0.963290,0.002101,1.017260,4,7,1,1,1,4,9.628740,9.628740,12.986,0.893180,17.355,565.641,610.586
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,0.889714,1,1,1,1,1,2,1,1.849516,0.889714,0.959802,,8,0.971321,0.971321,0.000552,1.013685,4,8,1,1,1,4,10.175329,10.175329,13.690,0.881960,12.664,371.861,410.389
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,0.869077,1,1,1,1,1,2,1,1.750785,0.869077,0.881708,,9,0.946938,0.946938,0.006551,1.056030,4,9,1,1,1,4,9.611588,9.611588,12.372,0.857636,15.062,672.732,713.022
81,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00082.jpg,0.667811,0,0,0,1,0,2,1,1.446748,0.667811,0.778937,,0,,,0.014579,1.059668,4,9,1,1,1,4,10.190468,10.190468,15.257,0.643800,14.314,509.776,554.459
82,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00083.jpg,0.882916,0,0,1,1,0,2,1,1.607550,0.882916,0.724635,,1,0.873629,,0.018482,1.129139,4,9,1,1,1,4,10.545300,10.545300,14.445,0.864574,12.887,659.821,702.220
83,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00084.jpg,0.864560,1,1,1,1,1,1,1,1.733896,0.864560,0.869335,,2,0.934203,0.934203,0.008248,1.044117,4,10,1,1,1,4,9.765980,9.765980,15.552,0.838669,13.143,647.786,689.943
84,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00085.jpg,0.877060,1,1,1,1,1,1,1,1.852863,0.877060,0.975803,,3,0.987531,0.987531,0.000895,1.011150,4,11,1,1,1,4,10.205922,10.205922,13.128,0.846770,13.078,678.554,718.267
85,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00086.jpg,0.874989,1,1,1,1,1,2,1,1.788664,0.874989,0.913676,,4,0.959796,0.959796,0.004767,1.037211,4,12,1,1,1,4,9.539227,9.539227,13.315,0.841778,13.174,701.598,741.338
86,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00087.jpg,0.898762,1,1,1,1,1,2,1,1.858860,0.898762,0.960098,,5,0.969927,0.969927,0.000847,1.008884,4,13,1,1,1,4,11.659748,11.659748,12.804,0.863697,13.222,548.824,586.882
87,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00088.jpg,0.898723,1,1,1,1,1,2,1,1.898256,0.898723,0.999534,,6,0.999783,0.999783,0.000021,1.000217,4,14,1,1,1,4,10.287079,10.287079,13.081,0.858225,13.725,424.666,463.884
88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00089.jpg,0.907152,1,1,1,1,1,2,1,1.748394,0.907152,0.841243,,7,0.924139,0.924139,0.009406,1.067169,4,15,1,1,1,4,10.043072,10.043072,13.133,0.859613,13.084,628.611,667.338
89,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00090.jpg,0.907105,1,1,1,1,1,2,1,1.907037,0.907105,0.999933,,8,0.999958,0.999958,0.000005,1.000002,4,16,1,1,1,4,9.210946,9.210946,14.926,0.852871,12.860,669.248,709.543
90,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00091.jpg,0.910264,1,1,1,1,1,2,1,1.894757,0.910264,0.984492,,9,0.990068,0.990068,0.000883,1.001834,4,17,1,1,1,4,9.031645,9.031645,13.266,0.850103,13.238,554.889,597.300
91,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00092.jpg,0.887784,1,1,1,1,1,1,1,1.820375,0.887784,0.932591,,10,0.958730,0.958730,0.003644,1.013819,4,18,1,1,1,4,8.765805,8.765805,13.049,0.821325,13.197,499.873,539.647
92,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00093.jpg,0.844322,1,1,1,1,1,1,1,1.770680,0.844322,0.926359,,11,0.963006,0.963006,0.002779,1.036754,4,19,1,1,1,4,9.680346,9.680346,13.417,0.746746,13.529,391.065,431.922
93,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00094.jpg,0.898541,1,1,1,1,1,2,1,1.702387,0.898541,0.803846,,12,0.902943,0.902943,0.011671,1.081869,4,20,1,1,1,4,10.103836,10.103836,13.058,0.828397,12.943,556.074,594.105
94,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00095.jpg,0.899422,1,1,1,1,1,1,1,1.788291,0.899422,0.888868,,13,0.942978,0.942978,0.005376,1.047013,4,21,1,1,1,4,9.474998,9.474998,13.070,0.826912,13.553,349.791,390.743
95,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00096.jpg,0.910252,1,1,1,1,1,2,1,1.885675,0.910252,0.975423,,14,0.984819,0.984819,0.001493,1.003138,4,22,1,1,1,4,9.150152,9.150152,13.394,0.836394,13.455,515.757,555.112
96,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00097.jpg,0.910747,1,1,1,1,1,2,1,1.860355,0.910747,0.949608,,15,0.960330,0.960330,0.002199,1.000255,4,23,1,1,1,4,9.044374,9.044374,15.646,0.829411,12.987,593.889,636.974
97,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00098.jpg,0.910649,1,1,1,1,1,2,1,1.910596,0.910649,0.999947,,16,0.999966,0.999966,0.000003,1.000006,4,24,1,1,1,4,8.276288,8.276288,12.985,0.826784,13.233,553.221,591.782
