frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
81,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00082.jpg,0.667811,0,0,0,1,0,2,1,1.446748,0.667811,0.778937,0,,,0.014579,1.059668,4,9,1,1,1,4,10.190468,10.190468,12.353,0.643800,12.774,497.314,536.148
82,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00083.jpg,0.882916,0,0,1,1,0,2,1,1.607550,0.882916,0.724635,1,0.873629,,0.018482,1.129139,4,9,1,1,1,4,10.545300,10.545300,12.493,0.864574,12.579,659.510,698.354
83,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00084.jpg,0.864560,1,1,1,1,1,1,1,1.733896,0.864560,0.869335,2,0.934203,0.934203,0.008248,1.044117,4,10,1,1,1,4,9.765980,9.765980,12.563,0.838669,12.701,626.632,665.298
84,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00085.jpg,0.877060,1,1,1,1,1,1,1,1.852863,0.877060,0.975803,3,0.987531,0.987531,0.000895,1.011150,4,11,1,1,1,4,10.205922,10.205922,12.574,0.846770,13.071,658.560,696.925
85,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00086.jpg,0.874989,1,1,1,1,1,2,1,1.788664,0.874989,0.913676,4,0.959796,0.959796,0.004767,1.037211,4,12,1,1,1,4,9.539227,9.539227,12.610,0.841778,12.437,673.861,712.447
86,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00087.jpg,0.898762,1,1,1,1,1,2,1,1.858860,0.898762,0.960098,5,0.969927,0.969927,0.000847,1.008884,4,13,1,1,1,4,11.659748,11.659748,12.638,0.863697,13.227,544.670,584.010
87,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00088.jpg,0.898723,1,1,1,1,1,2,1,1.898256,0.898723,0.999534,6,0.999783,0.999783,0.000021,1.000217,4,14,1,1,1,4,10.287079,10.287079,13.263,0.858225,12.642,428.463,466.513
88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00089.jpg,0.907152,1,1,1,1,1,2,1,1.748394,0.907152,0.841243,7,0.924139,0.924139,0.009406,1.067169,4,15,1,1,1,4,10.043072,10.043072,12.162,0.859613,12.776,609.181,645.895
89,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00090.jpg,0.907105,1,1,1,1,1,2,1,1.907037,0.907105,0.999933,8,0.999958,0.999958,0.000005,1.000002,4,16,1,1,1,4,9.210946,9.210946,12.448,0.852871,12.257,666.961,704.855
90,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00091.jpg,0.910264,1,1,1,1,1,2,1,1.894757,0.910264,0.984492,9,0.990068,0.990068,0.000883,1.001834,4,17,1,1,1,4,9.031645,9.031645,13.044,0.850103,16.148,527.636,569.193
