frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,0.887883,1,1,1,1,1,2,1,1.887670,0.887883,0.999788,6,0.999896,0.999896,0.000011,1.000081,4,6,1,1,1,4,10.079512,10.079512,13.884,0.888002,14.144,816.479,857.695
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,0.898202,1,1,1,1,1,2,1,1.840454,0.898202,0.942252,7,0.963315,0.963315,0.002099,1.017235,4,7,1,1,1,4,9.667885,9.667885,13.976,0.898788,14.044,591.534,633.098
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,0.889743,1,1,1,1,1,2,1,1.849476,0.889743,0.959733,8,0.971286,0.971286,0.000554,1.013722,4,8,1,1,1,4,10.376541,10.376541,13.543,0.890355,13.804,380.122,422.128
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,0.869079,1,1,1,1,1,2,1,1.750699,0.869079,0.881620,9,0.946902,0.946902,0.006558,1.056072,4,9,1,1,1,4,9.719745,9.719745,13.668,0.869898,13.653,673.406,715.286
81,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00082.jpg,0.667928,0,0,0,1,0,2,1,1.446834,0.667928,0.778905,0,,,0.014582,1.059681,4,9,1,1,1,4,10.421789,10.421789,13.207,0.672255,13.872,549.429,589.535
82,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00083.jpg,0.882969,0,0,1,1,0,2,1,1.607352,0.882969,0.724383,1,0.873508,,0.018501,1.129284,4,9,1,1,1,4,10.658472,10.658472,13.609,0.884876,13.783,719.055,763.531
83,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00084.jpg,0.864617,1,1,1,1,1,1,1,1.733914,0.864617,0.869297,2,0.934178,0.934178,0.008250,1.044121,4,10,1,1,1,4,10.008676,10.008676,13.651,0.865939,13.817,672.801,713.300
84,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00085.jpg,0.877161,1,1,1,1,1,1,1,1.852893,0.877161,0.975732,3,0.987494,0.987494,0.000899,1.011175,4,11,1,1,1,4,10.921713,10.921713,14.375,0.878607,14.174,715.826,757.637
85,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00086.jpg,0.875112,1,1,1,1,1,2,1,1.788757,0.875112,0.913645,4,0.959779,0.959779,0.004769,1.037219,4,12,1,1,1,4,10.330512,10.330512,13.619,0.878187,14.454,750.638,795.645
86,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00087.jpg,0.898900,1,1,1,1,1,2,1,1.858997,0.898900,0.960097,5,0.969923,0.969923,0.000846,1.008887,4,13,1,1,1,4,11.992538,11.992538,13.884,0.902005,13.763,589.776,631.272
87,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00088.jpg,0.898877,1,1,1,1,1,2,1,1.898699,0.898877,0.999823,6,0.999916,0.999916,0.000008,1.000084,4,14,1,1,1,4,11.347178,11.347178,13.901,0.902351,13.761,456.793,499.034
88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00089.jpg,0.907361,1,1,1,1,1,2,1,1.748774,0.907361,0.841413,7,0.924215,0.924215,0.009395,1.067076,4,15,1,1,1,4,10.949821,10.949821,13.412,0.911839,14.178,668.554,710.816
89,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00090.jpg,0.907375,1,1,1,1,1,2,1,1.906974,0.907375,0.999599,8,0.999812,0.999812,0.000024,1.000141,4,16,1,1,1,4,10.118181,10.118181,13.635,0.912263,13.206,720.134,759.781
90,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00091.jpg,0.910558,1,1,1,1,1,2,1,1.895083,0.910558,0.984525,9,0.990106,0.990106,0.000880,1.001865,4,17,1,1,1,4,10.014003,10.014003,14.062,0.915803,14.191,582.895,627.598
91,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00092.jpg,0.888165,1,1,1,1,1,1,1,1.820496,0.888165,0.932332,10,0.958596,0.958596,0.003657,1.013925,4,18,1,1,1,4,9.466188,9.466188,13.459,0.891289,13.609,543.763,585.250
92,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00093.jpg,0.844868,1,1,1,1,1,1,1,1.771218,0.844868,0.926350,11,0.963015,0.963015,0.002778,1.036785,4,19,1,1,1,4,10.106486,10.106486,13.603,0.845219,14.742,416.584,458.310
93,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00094.jpg,0.898969,1,1,1,1,1,2,1,1.702605,0.898969,0.803636,12,0.902826,0.902826,0.011683,1.081965,4,20,1,1,1,4,10.232195,10.232195,13.999,0.900495,14.412,601.234,645.037
94,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00095.jpg,0.899904,1,1,1,1,1,1,1,1.788981,0.899904,0.889077,13,0.943071,0.943071,0.005363,1.046919,4,21,1,1,1,4,9.895965,9.895965,14.496,0.901470,13.823,382.123,425.926
95,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00096.jpg,0.910788,1,1,1,1,1,2,1,1.886273,0.910788,0.975485,14,0.984907,0.984907,0.001481,1.003263,4,22,1,1,1,4,9.887910,9.887910,13.711,0.912803,15.743,552.843,597.931
96,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00097.jpg,0.911340,1,1,1,1,1,2,1,1.860997,0.911340,0.949656,15,0.960364,0.960364,0.002202,1.000210,4,23,1,1,1,4,9.358760,9.358760,14.713,0.916664,15.431,623.966,670.525
97,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00098.jpg,0.911326,1,1,1,1,1,2,1,1.910988,0.911326,0.999662,16,0.999833,0.999833,0.000018,1.000119,4,24,1,1,1,4,9.085909,9.085909,14.321,0.916914,16.945,602.991,648.816
98,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00099.jpg,0.914446,1,1,1,1,1,2,1,1.862747,0.914446,0.948301,17,0.967387,0.967387,0.002449,1.011364,4,25,1,1,1,4,8.706947,8.706947,14.198,0.922519,13.550,536.479,579.690
99,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00100.jpg,0.914481,1,1,1,1,1,2,1,1.914402,0.914481,0.999921,18,0.999962,0.999962,0.000004,1.000030,4,26,1,1,1,4,8.810994,8.810994,13.492,0.922852,13.772,435.606,478.421
